Kanji,Kana,Meaning
暴れる,あばれる,to act violently
溢れる,あふれる,to overflow
愛着,あいちゃく,attachment affection
合間,あいま,interval break
曖昧,あいまい,vague ambiguous
愛らしい,あいらしい,lovely adorable
相性,あいしょう,affinity compatibility
相次いで,あいついで,successively
愛用,あいよう,habitual use
厚かましい,あつかましい,impudent shameless
慌ただしい,あわただしい,busy hurried
怪しい,あやしい,suspicious doubtful
歩み寄る,あゆみよる,to compromise
鮮やか,あざやか,vivid bright
倍増,ばいぞう,double increase
動作,どうさ,action movement
同等,どうとう,equal equivalent
絵本,えほん,picture book
影響力,えいきょうりょく,influence clout
映像,えいぞう,image video
