Kanji,Kana,Meaning
圧倒,あっとう,overwhelm overpower
扱い,あつかい,treatment service
圧力,あつりょく,pressure stress
過ち,あやまち,fault error
買収,ばいしゅう,acquisition buy-out
弁護,べんご,defense advocacy
弁解,べんかい,justification explanation
貧乏,びんぼう,poverty destitute
膨張,ぼうちょう,expansion swelling
防衛,ぼうえい,defense protection
暴力,ぼうりょく,violence mayhem
侮辱,ぶじょく,insult affront
分配,ぶんぱい,division sharing
分散,ぶんさん,dispersion breakup
文書,ぶんしょ,document paperwork
着手,ちゃくしゅ,to start work on
近づく,ちかづく,to approach
蓄積,ちくせき,accumulation
沈黙,ちんもく,silence
秩序,ちつじょ,order regularity
